store_id,uptime_last_hour (mins),uptime_last_day (hrs),uptime_last_week (hrs),downtime_last_hour (mins),downtime_last_day (hrs),downtime_last_week (hrs)
22714854872571546,0,0.00,0.00,60,24.00,120.00
54489779683803308,60,24.00,94.04,0,0.00,25.96
85365680052177919,60,24.00,120.00,0,0.00,0.00
111535992101736451,60,24.00,120.00,0,0.00,0.00
114885739531774322,60,24.00,120.00,0,0.00,0.00
156529009532176037,0,13.01,55.84,60,10.99,64.16
164413650212299631,60,24.00,120.00,0,0.00,0.00
172108283591540042,0,0.00,0.00,60,24.00,120.00
173008600959739084,60,24.00,118.91,0,0.00,1.09
178239698550477108,60,24.00,118.10,0,0.00,1.90
194982952493716367,0,0.00,0.00,60,24.00,120.00
229554809545304622,0,0.00,0.00,60,24.00,120.00
238655432931047196,60,24.00,120.00,0,0.00,0.00
241881995341951220,28,5.53,120.00,32,18.47,0.00
259693267266088361,60,22.98,114.44,0,1.02,5.56
272977797039888453,60,24.00,120.00,0,0.00,0.00
293857813278950485,0,1.06,1.57,60,22.94,118.43
315743336432337622,60,24.00,120.00,0,0.00,0.00
359546471817196481,0,6.86,120.00,60,17.14,0.00
410358335846520463,60,24.00,120.00,0,0.00,0.00
414003284593290195,60,24.00,120.00,0,0.00,0.00
442238990270735302,0,0.00,0.00,60,24.00,120.00
444350742588893582,60,16.47,101.87,0,7.53,18.13
502975193642475915,60,24.00,120.00,0,0.00,0.00
503495069221950635,60,24.00,120.00,0,0.00,0.00
508915149479805627,60,21.49,120.00,0,2.51,0.00
530144866190195097,60,24.00,120.00,0,0.00,0.00
542125645716300828,60,24.00,120.00,0,0.00,0.00
567740068613916275,60,24.00,120.00,0,0.00,0.00
580054217780352371,60,24.00,120.00,0,0.00,0.00
595327076069621776,60,16.44,101.92,0,7.56,18.08
596215873525572046,60,12.94,67.39,0,11.06,52.61
641192523402783757,60,24.00,120.00,0,0.00,0.00
644875742827242818,60,24.00,120.00,0,0.00,0.00
651601963643042250,60,24.00,120.00,0,0.00,0.00
657353407588141295,0,0.00,0.00,60,24.00,120.00
678270188827672327,0,0.00,0.00,60,24.00,120.00
689188149937790762,60,24.00,120.00,0,0.00,0.00
692861451705829432,0,0.00,0.00,60,24.00,120.00
695554113287774198,60,24.00,94.02,0,0.00,25.98
707283889382250475,0,0.00,0.00,60,24.00,120.00
734536186521854824,60,24.00,120.00,0,0.00,0.00
736337575160194331,60,24.00,120.00,0,0.00,0.00
742989575739637038,60,24.00,120.00,0,0.00,0.00
754676491174814444,60,24.00,118.92,0,0.00,1.08
757183780274766763,60,24.00,120.00,0,0.00,0.00
778288804420215878,60,24.00,120.00,0,0.00,0.00
792489052388787373,60,24.00,120.00,0,0.00,0.00
809290249136909373,60,24.00,118.92,0,0.00,1.08
824157245993796852,60,16.43,91.17,0,7.57,28.83
827946720274465962,60,24.00,120.00,0,0.00,0.00
834923670257554083,60,24.00,94.03,0,0.00,25.97
842240514556507680,60,24.00,120.00,0,0.00,0.00
860340575392602255,60,24.00,120.00,0,0.00,0.00
863120845630154212,0,0.00,0.00,60,24.00,120.00
869150141145156759,60,22.98,115.51,0,1.02,4.49
895776572353408414,60,24.00,120.00,0,0.00,0.00
988923299049118093,60,24.00,120.00,0,0.00,0.00
997236235537428986,60,24.00,120.00,0,0.00,0.00
1009358099378516398,60,15.97,113.05,0,8.03,6.95
1011576216621297748,60,21.99,120.00,0,2.01,0.00
1017106810833904828,0,0.00,0.00,60,24.00,120.00
1023496631999592780,60,23.00,117.90,0,1.00,2.10
1024201760647776108,29,21.98,114.85,31,2.02,5.15
1027087744213169660,60,24.00,120.00,0,0.00,0.00
1032704868831201847,60,24.00,120.00,0,0.00,0.00
1047536633268444497,0,0.00,0.00,60,24.00,120.00
1074204697604602911,60,24.00,120.00,0,0.00,0.00
1087341422062225633,60,24.00,120.00,0,0.00,0.00
1094996317198305945,0,0.00,48.00,0,0.00,0.00
1172776965412058288,60,24.00,120.00,0,0.00,0.00
1202632237927065067,0,17.03,89.10,60,6.97,30.90
1212129555023726964,60,24.00,120.00,0,0.00,0.00
1218465664849319613,60,24.00,120.00,0,0.00,0.00
1223535685776085287,0,0.00,0.00,60,24.00,120.00
1247921559839333308,60,24.00,120.00,0,0.00,0.00
1259345490143839693,0,0.00,0.00,60,24.00,120.00
1263828702133426446,60,21.99,120.00,0,2.01,0.00
1268054213540185442,60,24.00,120.00,0,0.00,0.00
1282123663785941503,0,0.00,0.00,60,24.00,120.00
1294944983583892162,0,12.98,65.79,60,11.02,54.21
1295219977177781084,0,0.00,8.96,0,0.00,39.04
1317382145220044537,60,24.00,120.00,0,0.00,0.00
1333483637092150265,0,0.00,0.00,60,24.00,120.00
1336512318045268392,60,24.00,120.00,0,0.00,0.00
1338795293517935018,60,21.00,120.00,0,3.00,0.00
1342301357616571320,60,24.00,120.00,0,0.00,0.00
1346363272167435611,0,0.00,0.00,60,24.00,120.00
1365458945544005368,60,24.00,120.00,0,0.00,0.00
1371971221718848145,60,24.00,120.00,0,0.00,0.00
1392654270580334981,60,24.00,120.00,0,0.00,0.00
1393227882155458068,60,24.00,120.00,0,0.00,0.00
1419282950522914830,60,24.00,120.00,0,0.00,0.00
1428041801947596153,60,24.00,120.00,0,0.00,0.00
1432224225825291419,60,21.98,120.00,0,2.02,0.00
1434727190261777640,60,24.00,120.00,0,0.00,0.00
1442679555313959163,60,24.00,120.00,0,0.00,0.00
1446943428124506978,60,24.00,120.00,0,0.00,0.00
1450360021688844325,60,24.00,120.00,0,0.00,0.00
1468487315934241267,0,0.00,0.00,60,24.00,120.00
1477904358215633755,0,0.00,0.00,60,24.00,120.00
1498020367202628196,60,24.00,120.00,0,0.00,0.00
1501422145762336392,60,24.00,120.00,0,0.00,0.00
1515380987437078567,60,24.00,120.00,0,0.00,0.00
1521289575048831804,0,0.00,0.00,60,24.00,120.00
1558465158996705223,60,24.00,120.00,0,0.00,0.00
1567552817519038144,60,24.00,120.00,0,0.00,0.00
1596738292653158725,60,24.00,120.00,0,0.00,0.00
1598715890787528447,0,0.00,0.00,60,24.00,120.00
1607907538626998405,60,6.01,29.81,0,17.99,90.19
1634983772484395625,60,21.92,120.00,0,2.08,0.00
1638463026912049828,60,21.92,120.00,0,2.08,0.00
1684266023736104783,60,24.00,120.00,0,0.00,0.00
1686654622075380692,60,23.00,117.98,0,1.00,2.02
1689984988800150859,60,24.00,120.00,0,0.00,0.00
1723918486626638942,60,24.00,120.00,0,0.00,0.00
1758927580116269084,0,6.86,120.00,60,17.14,0.00
1760881616877597468,60,24.00,120.00,0,0.00,0.00
1773682653288381853,60,21.99,113.92,0,2.01,6.08
1795568582723410111,60,16.47,83.16,0,7.53,36.84
1826435698432426239,60,24.00,120.00,0,0.00,0.00
1935319436437067672,60,24.00,120.00,0,0.00,0.00
1941955214807828599,60,24.00,120.00,0,0.00,0.00
1982174081097804986,60,24.00,120.00,0,0.00,0.00
