store_id,uptime_last_hour (mins),uptime_last_day (hrs),uptime_last_week (hrs),downtime_last_hour (mins),downtime_last_day (hrs),downtime_last_week (hrs)
22714854872571546,0,0.00,0.00,0,24.00,95.57
54489779683803308,0,24.00,88.54,0,0.00,6.99
85365680052177919,0,24.00,95.68,0,0.00,0.00
111535992101736451,0,24.00,95.53,0,0.00,0.00
114885739531774322,0,24.00,95.68,0,0.00,0.00
156529009532176037,0,17.07,53.20,0,6.93,42.42
164413650212299631,0,24.00,95.68,0,0.00,0.00
172108283591540042,0,0.00,0.00,0,24.00,95.65
173008600959739084,0,24.00,94.52,0,0.00,1.09
178239698550477108,0,24.00,93.64,0,0.00,1.90
194982952493716367,0,0.00,0.00,0,24.00,95.69
229554809545304622,0,0.00,0.00,0,24.00,95.63
238655432931047196,0,24.00,95.61,0,0.00,0.00
241881995341951220,0,2.97,95.62,0,21.03,0.00
259693267266088361,0,23.05,90.22,0,0.95,5.40
272977797039888453,0,24.00,95.68,0,0.00,0.00
293857813278950485,0,0.00,0.00,0,24.00,95.53
315743336432337622,0,24.00,95.68,0,0.00,0.00
359546471817196481,0,14.03,95.60,0,9.97,0.00
410358335846520463,0,24.00,95.68,0,0.00,0.00
414003284593290195,0,24.00,95.64,0,0.00,0.00
442238990270735302,0,0.00,0.00,0,24.00,95.57
444350742588893582,0,22.02,64.04,0,1.98,31.55
502975193642475915,0,24.00,95.54,0,0.00,0.00
503495069221950635,0,24.00,95.54,0,0.00,0.00
508915149479805627,0,24.00,95.68,0,0.00,0.00
530144866190195097,0,24.00,95.60,0,0.00,0.00
542125645716300828,0,24.00,95.61,0,0.00,0.00
567740068613916275,0,24.00,95.59,0,0.00,0.00
580054217780352371,0,24.00,95.68,0,0.00,0.00
595327076069621776,0,21.99,64.03,0,2.01,31.58
596215873525572046,0,24.00,72.60,0,0.00,22.94
641192523402783757,0,24.00,95.68,0,0.00,0.00
644875742827242818,0,24.00,95.60,0,0.00,0.00
651601963643042250,0,24.00,95.58,0,0.00,0.00
657353407588141295,0,0.00,0.00,0,24.00,95.53
678270188827672327,0,0.00,0.00,0,24.00,95.68
689188149937790762,0,24.00,95.59,0,0.00,0.00
692861451705829432,0,0.00,0.00,0,24.00,95.61
695554113287774198,0,24.00,88.52,0,0.00,7.10
707283889382250475,0,0.00,0.00,0,24.00,95.57
734536186521854824,0,24.00,95.61,0,0.00,0.00
736337575160194331,0,24.00,95.68,0,0.00,0.00
742989575739637038,0,24.00,95.62,0,0.00,0.00
754676491174814444,0,24.00,94.46,0,0.00,1.08
757183780274766763,0,24.00,95.68,0,0.00,0.00
778288804420215878,0,24.00,95.62,0,0.00,0.00
792489052388787373,0,24.00,95.62,0,0.00,0.00
809290249136909373,0,24.00,94.46,0,0.00,1.08
824157245993796852,0,21.99,40.03,0,2.01,55.62
827946720274465962,0,24.00,95.62,0,0.00,0.00
834923670257554083,0,24.00,88.53,0,0.00,6.99
842240514556507680,0,24.00,95.60,0,0.00,0.00
860340575392602255,0,24.00,95.63,0,0.00,0.00
863120845630154212,0,0.00,0.00,0,24.00,95.61
869150141145156759,0,23.03,92.73,0,0.97,2.81
895776572353408414,0,24.00,95.69,0,0.00,0.00
988923299049118093,0,24.00,95.68,0,0.00,0.00
997236235537428986,0,24.00,95.68,0,0.00,0.00
1009358099378516398,0,24.00,92.70,0,0.00,2.91
1011576216621297748,0,24.00,95.60,0,0.00,0.00
1017106810833904828,0,0.00,0.00,0,24.00,95.65
1023496631999592780,0,24.00,93.58,0,0.00,2.10
1024201760647776108,0,22.03,90.37,0,1.97,5.15
1027087744213169660,0,24.00,95.51,0,0.00,0.00
1032704868831201847,0,24.00,95.68,0,0.00,0.00
1047536633268444497,0,0.00,0.00,0,24.00,95.68
1074204697604602911,0,24.00,95.60,0,0.00,0.00
1087341422062225633,0,24.00,95.68,0,0.00,0.00
1094996317198305945,0,0.00,24.00,0,0.00,0.00
1172776965412058288,0,24.00,95.60,0,0.00,0.00
1202632237927065067,0,17.07,51.58,0,6.93,44.03
1212129555023726964,0,24.00,95.54,0,0.00,0.00
1218465664849319613,0,24.00,95.54,0,0.00,0.00
1223535685776085287,0,0.00,0.00,0,24.00,95.68
1247921559839333308,0,24.00,95.60,0,0.00,0.00
1259345490143839693,0,0.00,0.00,0,24.00,95.53
1263828702133426446,0,24.00,95.60,0,0.00,0.00
1268054213540185442,0,24.00,95.53,0,0.00,0.00
1282123663785941503,0,0.00,0.00,0,24.00,95.68
1294944983583892162,0,17.02,56.14,0,6.98,39.55
1295219977177781084,0,0.00,2.94,0,0.00,21.06
1317382145220044537,0,24.00,95.61,0,0.00,0.00
1333483637092150265,0,0.00,0.00,0,24.00,95.68
1336512318045268392,0,24.00,95.60,0,0.00,0.00
1338795293517935018,0,24.00,95.60,0,0.00,0.00
1342301357616571320,0,24.00,95.69,0,0.00,0.00
1346363272167435611,0,0.00,0.00,0,24.00,95.53
1365458945544005368,0,24.00,95.61,0,0.00,0.00
1371971221718848145,0,24.00,95.61,0,0.00,0.00
1392654270580334981,0,24.00,95.54,0,0.00,0.00
1393227882155458068,0,24.00,95.62,0,0.00,0.00
1419282950522914830,0,24.00,95.60,0,0.00,0.00
1428041801947596153,0,24.00,95.54,0,0.00,0.00
1432224225825291419,0,24.00,95.53,0,0.00,0.00
1434727190261777640,0,24.00,95.68,0,0.00,0.00
1442679555313959163,0,24.00,95.61,0,0.00,0.00
1446943428124506978,0,24.00,95.68,0,0.00,0.00
1450360021688844325,0,24.00,95.62,0,0.00,0.00
1468487315934241267,0,0.00,0.00,0,24.00,95.53
1477904358215633755,0,0.00,0.00,0,24.00,95.61
1498020367202628196,0,24.00,95.61,0,0.00,0.00
1501422145762336392,0,24.00,95.62,0,0.00,0.00
1515380987437078567,0,24.00,95.53,0,0.00,0.00
1521289575048831804,0,0.00,0.00,0,24.00,95.55
1558465158996705223,0,24.00,95.59,0,0.00,0.00
1567552817519038144,0,24.00,95.68,0,0.00,0.00
1596738292653158725,0,24.00,95.53,0,0.00,0.00
1598715890787528447,0,0.00,0.00,0,24.00,95.52
1607907538626998405,0,6.97,43.12,0,17.03,52.50
1634983772484395625,0,24.00,95.53,0,0.00,0.00
1638463026912049828,0,24.00,95.53,0,0.00,0.00
1684266023736104783,0,24.00,95.61,0,0.00,0.00
1686654622075380692,0,24.00,93.59,0,0.00,2.02
1689984988800150859,0,24.00,95.65,0,0.00,0.00
1723918486626638942,0,24.00,95.61,0,0.00,0.00
1758927580116269084,0,14.03,95.60,0,9.97,0.00
1760881616877597468,0,24.00,95.62,0,0.00,0.00
1773682653288381853,0,24.00,89.60,0,0.00,6.08
1795568582723410111,0,21.99,40.01,0,2.01,55.61
1826435698432426239,0,24.00,95.52,0,0.00,0.00
1935319436437067672,0,24.00,95.53,0,0.00,0.00
1941955214807828599,0,24.00,95.54,0,0.00,0.00
1982174081097804986,0,24.00,95.64,0,0.00,0.00
1999256227161107821,0,24.00,95.61,0,0.00,0.00
2003701149761575206,0,24.00,95.15,0,0.00,0.50
2035246497231353252,0,24.00,95.55,0,0.00,0.00
2054851869429909191,0,24.00,95.61,0,0.00,0.00
2057963137235512954,0,24.00,95.54,0,0.00,0.00
2069513608455411178,0,17.04,95.68,0,6.96,0.00
2071651191289585663,0,23.04,91.22,0,0.96,4.47
2076590970434241071,0,24.00,95.68,0,0.00,0.00
2093727077007104591,0,0.00,0.00,0,24.00,95.62
2120132710402954517,0,0.00,0.00,0,24.00,95.68
2135668498092449388,0,17.09,53.13,0,6.91,42.55
2162076502743381159,0,24.00,95.69,0,0.00,0.00
2182729689083715250,0,0.00,0.00,0,24.00,95.61
2198373184013936867,0,24.00,93.71,0,0.00,1.97
2209431418597613367,0,0.00,0.00,0,24.00,95.53
2219122341590683967,0,24.00,95.68,0,0.00,0.00
2225463778773087588,0,24.00,95.52,0,0.00,0.00
2232813823426768775,0,24.00,93.63,0,0.00,1.98
2234967790715613160,0,24.00,95.68,0,0.00,0.00
2243425213214550229,0,24.00,88.54,0,0.00,6.99
